извините набранный вами номер временно заблокирован,blocked
абонент занят оставьте сообщение на автоответчик,busy_voicemail
номер занят оставьте сообщение на автоответчик,busy_voicemail
телефон абонента занят оставьте сообщение после сигнала,busy_voicemail
пожалуйста оставайтесь на линии сейчас абонент разговаривает,busy_waiting
пожалуйста оставайтесь на линии или перезвоните позже в настоящий момент абонент разговаривает,busy_waiting
абонент разговаривает дождитесь ответа или перезвоните позже,busy_waiting
данный вид связи недоступен для абонента,call_cannot_be_setup
данный вид связи недоступен для абонента,call_cannot_be_setup
данный вид связи недоступен для абонента,call_cannot_be_setup
данный вид связи недоступен для абонента,call_cannot_be_setup
аппарат абонента выключен или находится вне зоны действия,disconnected
телефон абонента выключен или находится вне зоны обслуживания,disconnected
абонент в сети не зарегистрирован,disconnected
данный номер отключён,new
соединение невозможно,new
абонент не может ответить,new
номер изменён,new
предоставление услуг по этому номеру прекращено,new
введите пароль,new
набираемый номер не существует,new
набранный номер временно недоступен,new
извините набранный вами номер временно не обслуживается,new
направление перегружено,new
номер не подключён,new
в настоящий момент абонент разговаривает по другой линии,new
в настоящее время вызов абоненту который сменил оператора связи невозможен,new
набранный номер изменён,new
включено ограничение исходящей связи с данного номера,new
введите пароль,new
телефон абонента временно недоступен,new
доступ к данному номеру запрещён,new
номер временно недоступен,new
номер абонента изменился,new
вы набираете несуществующий номер,new
набранный вами номер не существует,new
извините номер который вы набираете недоступен,new
набираемый вами номер не существует,new
ваш номер в системе не зарегистрирован,new
здравствуйте вы позвонили на телефонный номер который сейчас свободен,new
к сожалению адресат в данный момент недоступен,new
набранный вами номер не существует,new
соединение с набранным номером невозможно,new
здравствуйте этот номер не обслуживается,new
набранный вами номер недоступен,new
абонентский номер занят пожалуйста перезвоните позже,new
аппарат абонента не подключён к станции,new
данный вид связи недоступен для абонента,new
аппарат абонента не подключён к станции,new
вы позвонили на номер который находится в продаже,new
здравствуйте вызываемый номер принадлежит оператору связи алло инкогнито,new
здравствуйте сейчас этот номер свободен,new
вы набрали несуществующий формат номера,new
неправильно набран номер,new
абонент которому вы позвонили находится за пределами российской федерации,new
номер изменился бесплатная справка по номеру восемь,new
номер телефона который вы набираете не существует,new
и номер ещё не используется абонентский номер,new
извините вызываемый вами абонент отключён оператором,new
набранный вами номер не существует,new
набранный вами номер не используется пожалуйста уточните номер,new
к сожалению набранный вами номер не существует пожалуйста проверьте его и наберите снова,new
данный номер телефона изменился для получения информации по новому номеру необходимо обратиться в справочную службу по телефону восемьдесят один два нуля,new
набранный номер не существует,new
набранный вами номер не обслуживается,not_exist
извините номер не существует или набран неправильно,not_exist
номер недоступен оставьте сообщение на автоответчик,unavialable_voicemail
абонент недоступен оставьте сообщение после сигнала,unavialable_voicemail
ваш звонок переведён на специальной голосовой ящик абонента оставьте сообщение после звукового сигнала,unavialable_voicemail
вызываемый абонент недоступен ваш звонок был переадресован на голосовой почтовый ящик можете оставить сообщение после сигнала,unavialable_voicemail
абонент временно недоступен перезвоните позже,unavilable
абонент которому вы позвонили находится за пределами российской федерации,unavilable
абонент не отвечает или временно недоступен пожалуйста позвоните позднее,unavilable
абонент временно недоступен попробуйте позвонить позже,unavilable
абонент временно недоступен пожалуйста позвоните позднее,unavilable
абонент временно недоступен попробуйте перезвонить позже,unavilable
номер на который вы звоните сейчас не в сети пожалуйста перезвоните позже,unavilable
вас приветствует автоответчик оставьте сообщение после звукового сигнала,voicemail
аппарат вызываемого абонента занят ваш звонок был переадресован на голосовой почтовый ящик,voicemail
продолжается попытка дозвониться до абонента который пока что не успел ответить,waiting
